INDEX,Unnamed: 1,Unnamed: 2,1. INBOUND TOURISM: Arrivals by region,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
28,1.8,28-1.8,,,,East Asia and the Pacific,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.3,1.4,1.5,2,2,2.1,2.2,2.3,2.8,1,0.6,1.2,
28,1.9,28-1.9,,,,Europe,,Thousands,,,84,88,90,88,87,90,78,82,99,113,108,107,115,110,93.4,89,92,90,88,91,96,96.1,90.5,88.8,98.2,38.5,52.6,90.1,
28,1.10,28-1.10,,,,Middle East,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,0.1,0.2,0.1,0.5,..,0.1,0.3,
28,1.11,28-1.11,,,,South Asia,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.4,0.5,0.6,0.7,1,0.2,0.3,0.8,
28,1.12,28-1.12,,,,Other not classified,,Thousands,,,4,4,4,4,6,9,8,8,4,3,9,8,6,4,2.3,2.4,1.3,1.3,1.3,1,..,..,0.2,0.1,0.2,0.4,0.1,0.1,
28,1.13,28-1.13,,,,,"of which, nationals residing abroad",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
32,0,32-0,ARGENTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.5,32-1.5,,,Total,,,Thousands,1/,TF,2288,2614,2764,3012,2899,2909,2620,2821,2996,3456,3823,4173,4562,4700,4308,6799.6,6703,6497.2,6510.4,7165.400000000001,6815.7,6668.3,6711.2,6941.900000000001,7399.100000000001,2089.6,297.4,3889.7,1/ Change of methodology from 2016. The data from 2010 to 2015 are the product of a statistical splice.  Data prior to 2010 are not comparable with those of the 2010-2019 series.
32,1.6,32-1.6,,,,Africa,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.4,14,16.1,15.1,3,0.3,5.2,
32,1.7,32-1.7,,,,Americas,,Thousands,,,1988,2252,2378,2595,2491,2480,2157,2420,2425,2722,2984,3283,3609,3710,3392,5540.3,5461.5,5318.2,5386.6,6016.6,5655.6,5446.8,5512.5,5692.1,6043.8,1659.9,218.1,3323.4,
32,1.8,32-1.8,,,,East Asia and the Pacific,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,209,210.7,226.8,231.5,67.9,2.7,34.1,
32,1.9,32-1.9,,,,Europe,,Thousands,,,248,299,320,344,337,354,371,324,456,546,631,662,738,766,722,998.2,969.5,911.7,865.9,891.2,895.9,989.5,963.6,994.9,1096.5,356.8,75.9,522.5,
32,1.10,32-1.10,,,,Middle East,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,0.8,1,0.8,0.2,..,1.4,
32,1.11,32-1.11,,,,South Asia,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.3,7.9,9.4,9.8,1.7,0.2,3.1,
32,1.12,32-1.12,,,,Other not classified,,Thousands,,,52,63,66,73,71,75,92,77,115,188,208,228,215,224,194,261.1,272,267.3,257.9,257.6,264.2,1.3,1.7,1.6,1.6,0.1,0.2,0,
32,1.13,32-1.13,,,,,"of which, nationals residing abroad",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
51,0,51-0,ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.5,51-1.5,,,Total,,,Thousands,,TF,11,13,23,31,41,45,123,162,206,262,318,382,510,558,575,684,758,963,1084,1203.8000000000002,1192.1000000000001,1259.6999999999998,1494.9,1651.8,1894.4,375.20000000000005,870.4,1665.7,
51,1.6,51-1.6,,,,Africa,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,1,0.7,1,0.9,1,0.4,0.7,1.6,1.1,0.2,0.5,0.8,
51,1.7,51-1.7,,,,Americas,,Thousands,,,2,1,3,5,6,8,41,46,58,75,86,98,127,135,135,136,145,128.9,147,156.9,89.4,90.4,102.4,101.6,76,9.4,34.5,58.1,
51,1.8,51-1.8,,,,East Asia and the Pacific,,Thousands,,,..,..,1,1,1,1,3,3,6,9,14,16,23,24,25,26,29,29.8,31,27.9,10.2,19.3,38.6,50.1,63.9,8.6,6.3,22.6,
51,1.9,51-1.9,,,,Europe,,Thousands,,,8,11,16,23,27,25,48,80,99,127,160,203,278,308,311,351,375,605.7,702,811.9,922.4,937.7,1095.7,1269.4,1516.3,325.1,702.1,1424.2,
51,1.10,51-1.10,,,,Middle East,,Thousands,,,..,..,1,1,2,2,13,14,19,23,28,33,41,44,45,46,49,49.7,52,55.8,20.9,18.8,30,37,37.4,4.1,16.2,25.3,
51,1.11,51-1.11,,,,South Asia,,Thousands,,,1,1,2,1,5,9,18,19,24,28,30,32,41,46,59,125,159,148.2,151,150.4,148.2,193.1,227.5,192.1,199.7,27.8,110.8,134.7,
51,1.12,51-1.12,,,,Other not classified,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
51,1.13,51-1.13,,,,,"of which, nationals residing abroad",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,0,533-0,ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,1.5,533-1.5,,,Total,,,Thousands,1/,TF,619,640,649,647,682,721,691,642,642,727,732,694,771,827,813,824,869,904,979,1071.8999999999999,1224.8,1101.8000000000002,1070.3,1081.7,1118.7,368.3,806.5,..,1/ Arrivals by air.
533,1.6,533-1.6,,,,Africa,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,1.7,533-1.7,,,,Americas,,Thousands,,,565,582,588,595,629,670,643,595,585,665,666,630,703,749,735,746,785,820,898,987.6,1133,1001.7,970.2,983,1020.4,337.5,741.4,..,
533,1.8,533-1.8,,,,East Asia and the Pacific,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,1.9,533-1.9,,,,Europe,,Thousands,,,52,55,57,49,49,47,45,44,55,60,63,62,67,74,75,76,81,80,77,80.2,80.6,86.7,90.6,89.7,93.3,28.2,53.7,..,
533,1.10,533-1.10,,,,Middle East,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,1.11,533-1.11,,,,South Asia,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
533,1.12,533-1.12,,,,Other not classified,,Thousands,,,2,3,4,3,4,4,3,3,2,2,3,2,1,4,3,2,3,4,4,4.1,11.2,13.4,9.5,9,5,2.6,11.4,..,
533,1.13,533-1.13,,,,,"of which, nationals residing abroad",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
36,0,36-0,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.5,36-1.5,,,Total,,,Thousands,1/,VF,3726,4165,4319,4168,4459,4932,4855,4841,4745,5213,5498,5532,5644,5585,5490.099999999999,5789.900000000001,5771.1,6032.200000000001,6481.7,6922.000000000001,7449.3,8268.9,8815.4,9245.800000000001,9465.900000000001,1827.7000000000003,246.29999999999998,3694.4,1/ Excluding nationals residing abroad and crew members.
36,1.6,36-1.6,,,,Africa,,Thousands,,,43,53,58,72,72,79,73,68,70,68,71,78,85,93,81.7,86.6,89.1,82.4,81.1,84.3,84.7,87,89.6,95.1,94.9,18.2,1.8,54.8,
