INDEX,Unnamed: 1,Unnamed: 2,3. OUTBOUND TOURISM: Tourism expenditure in other countries,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
16,3.5,16-3.5,,,Travel,,,US$ Millions,,country,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
16,3.6,16-3.6,,,Passenger transport,,,US$ Millions,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
20,0,20-0,ANDORRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3.4,20-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,187,132.4,191.70000000000002,..,
20,3.5,20-3.5,,,Travel,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,180,131,186.3,..,
20,3.6,20-3.6,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,1.4,5.4,..,
24,0,24-0,ANGOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3.4,24-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,113,110,125,96,142,146,80,52,49,86,135,393,473,447,270,275,323,288,316,505,389,823,1216,762,717,691,800,1897.8000000000002,
24,3.5,24-3.5,,,Travel,,,US$ Millions,,IMF,75,73,98,75,127,136,66,19,12,39,74,148,212,254,133,148,180,159,166,113,146,594,977,555,469,615,629,1657.4,
24,3.6,24-3.6,,,Passenger transport,,,US$ Millions,,IMF,38,37,27,21,15,10,14,33,37,47,61,245,261,193,137,127,143,129,150,392,243,229,239,207,248,76,171,240.4,
660,0,660-0,ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,3.4,660-3.4,,Tourism expenditure in other countries,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.6,15.1,15.7,13.4,12.7,15.3,6.1,2.5,7.4,
660,3.5,660-3.5,,,Travel,,,US$ Millions,,IMF,6,6,7,8,8,9,9,8,9,9,10,13,15,17,16,13,13,12,12,11.5,13.1,13.5,11,11,13.4,5.6,2.3,6.4,
