INDEX,Unnamed: 1,Unnamed: 2,1. INBOUND TOURISM: Arrivals by main purpose,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
50,1.14,50-1.14,,,Total,,,Thousands,,TF,156,165,182,172,173,199,207,207,245,271,208,200,289,467,267,..,..,..,..,..,..,..,..,..,..,..,..,..,
50,1.15,50-1.15,,,,Personal,,Thousands,,,108,122,124,117,137,159,173,177,211,216,105,109,156,340,145,..,..,..,..,..,..,..,..,..,..,..,..,..,
50,1.18,50-1.18,,,,Business and professional,,Thousands,,,48,43,58,55,36,40,34,30,34,55,103,91,133,127,122,..,..,..,..,..,..,..,..,..,..,..,..,..,
52,0,52-0,BARBADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ The information for 2019 only includes data relating to the January-September period due to a data gap in the fourth quarter and is therefore not comparable to the series for previous years.
52,1.14,52-1.14,,,Total,,,Thousands,,TF,442,447,472,512,515,545,507,497,531,551,548,563,574,568,518,532,568,536,509,520.8,592.3000000000001,632.1,663.6,680.1999999999999,522.5,207.29999999999998,144.8,539.7,
52,1.15,52-1.15,,,,Personal,,Thousands,,,423,423,435,471,460,485,450,439,466,481,476,503,516,508,463,479,514,485,451,462.2,533.2,573.9,609.8000000000001,628.4,477.29999999999995,184.39999999999998,131.9,474.7,
52,1.18,52-1.18,,,,Business and professional,,Thousands,,,19,24,37,41,55,60,57,58,65,70,72,60,58,60,55,53,54,51,58,58.6,59.1,58.2,53.8,51.8,45.2,22.9,12.9,65,
112,0,112-0,BELARUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Data until 2015 without taking into account the Belarusian-Russian border segment. Data from 2016 including estimation of the Belarusian-Russian border segment.
112,1.14,112-1.14,,,Total,,,Thousands,1/,VF,..,..,..,..,..,2030,1852,1907,1729,1816,4738,5276,5283,5262,4872,5674,5877,6130,6242,5375,4386,10935,11060,11501.6,11832,3598.3999999999996,3361.0000000000005,4920.400000000001,
112,1.15,112-1.15,,,,Personal,,Thousands,,,..,..,..,..,..,1795,1592,1727,1515,1566,4324,4751,4837,4837,4505,5302,5464,5723,5866,5026,4105,8179,8273,8833.2,8939.1,2775.1,2632.1000000000004,4188.1,
112,1.18,112-1.18,,,,Business and professional,,Thousands,,,..,..,..,..,..,235,260,180,214,250,414,525,446,425,367,372,413,407,376,349,281,2756,2787,2668.4,2892.9,823.3,728.9,732.3,
56,0,56-0,BELGIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Due to a change in the methodology, from 2015 the data are not comparable with those of previous years."
56,1.14,56-1.14,,,Total,,,Thousands,1/,TCE,5560,5829,6037,6179,6368,6457,6452,6719,6690,6710,6747,6995,7045,7164,6815,7186,7494,7560,7684,7887.4,8354.7,7481.4,8384.5,9118.8,9343.3,2584,3243.1000000000004,8220.2,
56,1.15,56-1.15,,,,Personal,,Thousands,,,3621,3653,3750,3901,4022,3974,4054,4319,4406,4377,4381,4503,4605,4588,4532,4779,4886,4772,4846,5045.2,5450.2,4809.8,5444.4,6048.4,6194.9,1744,2207.4,5848.8,
56,1.18,56-1.18,,,,Business and professional,,Thousands,,,1939,2176,2287,2278,2346,2483,2398,2400,2284,2333,2366,2492,2440,2576,2283,2407,2608,2788,2838,2842.2,2904.5,2671.6,2940.1,3070.4,3148.4,840,1035.7,2371.4,
84,0,84-0,BELIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1.14,84-1.14,,,Total,,,Thousands,,TF,342,349,306,176,181,196,196,199,221,231,237,247,251,245,232,242,250,277,294,321,341.1,385.59999999999997,427,489.2,503.2,144.1,219.1,..,
84,1.15,84-1.15,,,,Personal,,Thousands,,,332,340,294,167,172,187,186,186,208,219,225,235,238,235,222,231,238,264,281,304,326.1,371.4,410,477.8,490,135.1,203.5,..,
84,1.18,84-1.18,,,,Business and professional,,Thousands,,,10,9,12,9,9,9,10,13,13,12,12,12,13,10,10,11,12,13,13,17,15,14.2,17,11.4,13.2,9,15.6,..,
204,0,204-0,BENIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,1.14,204-1.14,,,Total,,,Thousands,,TF,..,..,..,..,80,96,..,..,..,..,..,..,185,188,190,199,209,220,231,242.39999999999998,254.5,267.3,280.7,294.70000000000005,309.4,324.9,..,..,
204,1.15,204-1.15,,,,Personal,,Thousands,,,..,..,..,..,24,19,..,..,..,..,..,..,88,103,82,103,115,121,117,118.39999999999999,118.3,127.30000000000001,135.1,134.4,138.20000000000002,171.3,..,..,
204,1.18,204-1.18,,,,Business and professional,,Thousands,,,..,..,..,..,56,77,..,..,..,..,..,..,97,85,108,96,94,99,114,124,136.2,140,145.6,160.3,171.2,153.6,..,..,
60,0,60-0,BERMUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad. Arrivals by air.
60,1.14,60-1.14,,,Total,,,Thousands,1/,TF,387,390,380,369,355,332,278,283,257,271,270,299,306,264,235,232,236,232,236,224.4,219.9,244.39999999999998,269.5,281.8,269.5,42.1,72.1,145.9,
60,1.15,60-1.15,,,,Personal,,Thousands,,,330,333,319,309,301,284,244,244,206,216,211,242,238,203,185,184,184,187,187,177.8,174.8,200.39999999999998,221.4,235.2,222.20000000000002,32.7,66,122.9,
60,1.18,60-1.18,,,,Business and professional,,Thousands,,,57,57,61,60,54,48,34,39,51,55,59,57,68,61,50,48,52,45,49,46.6,45.1,44,48.1,46.6,47.3,9.4,6.1,23,
64,0,64-0,BHUTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ The huge margin of difference from 2010 as compared to the previous years is because starting from 2010 the regional high end tourists are included in the total figures. 2021: due to covid protocol (21 days of mandatory quarantine), Bhutan received only 1 tourist with a stay of 113 nights."
64,1.14,64-1.14,,,Total,,,Thousands,1/,TF,4.8,5.2,5.4,6.2,7.2,7.6,6.4,5.6,6.3,9.2,13.6,17.3,21,28,24,41,66,105,116,133.45000000000002,155.1,209.6,254.6,274.09999999999997,315.59999999999997,29.8,0.001,..,
64,1.15,64-1.15,,,,Personal,,Thousands,,,4.8,5.2,5.4,6.2,7.2,7.6,6.4,5.6,6.3,9.2,13.6,17.3,21,26,22,37,43,85,98,117.65,140,192.1,237.7,258.9,298.2,27.5,0.001,..,
64,1.18,64-1.18,,,,Business and professional,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,2,2,4,23,20,18,15.8,15.1,17.5,16.9,15.2,17.4,2.3,..,..,
68,0,68-0,"BOLIVIA, PLURINATIONAL STATE OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Information obtained through the specific percentage breakdown in the Survey “expenditure of inbound and outbound tourism”.
68,1.14,68-1.14,,,Total,,,Thousands,1/,TF,284,313,355,388,342,305,316,334,428,480,524,521,573,529.6,599,679,711,798,798,870.6,881.6000000000001,960.8999999999999,1108.5,1141.9,1239.3,323.20000000000005,179.9,724,
68,1.15,68-1.15,,,,Personal,,Thousands,,,178,267,302,331,291,262,260,275,378,431,490,488,536,498.6,549,623,652,732,732,783.5,774.9000000000001,844.5999999999999,974.4,1003.7,1089.3,284.1,158.1,549.2,
68,1.18,68-1.18,,,,Business and professional,,Thousands,,,106,46,53,57,51,43,56,59,50,49,34,33,37,31,50,56,59,66,66,87.1,106.7,116.3,134.1,138.2,150,39.1,21.8,174.8,
534,0,534-0,BONAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by main purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,1.14,534-1.14,,,Total,,,Thousands,,TF,..,..,62,60,55,51,50,51,65,62,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
534,1.15,534-1.15,,,,Personal,,Thousands,,,..,..,61,55,48,47,46,50,63,61,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
