INDEX,Unnamed: 1,Unnamed: 2,1. INBOUND TOURISM: Arrivals by mode of transport,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
40,0,40-0,AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.19,40-1.19,,,Total,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
40,1.20,40-1.20,,,,Air,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
40,1.21,40-1.21,,,,Water,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
40,1.22,40-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
31,0,31-0,AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.19,31-1.19,,,Total,,,Thousands,,VF,..,210,306,483,602,681,767,834,1038,1279,1177,1193,1332,1899,1830,1963,2239,2484,2508.9,2297.7,2006.7,2248.5,2696.7,2849.5,3170.3999999999996,795.7,791.8000000000001,1602.3,
31,1.20,31-1.20,,,,Air,,Thousands,,,..,195,286,466,564,658,739,173,217,276,276,281,297,572,624,646,795,946,993.5,1089.2,968.9,1164.9,1151.5,1183.8,1285.2,219.4,380.2,1042.1,
31,1.21,31-1.21,,,,Water,,Thousands,,,..,1,3,1,1,1,2,2,6,8,10,9,9,15,13,14,20,21,26.6,16.1,32.1,16.8,18.9,28.3,24.5,19.7,17.1,24,
31,1.22,31-1.22,,,,Land,,Thousands,,,..,14,17,16,37,22,26,659,815,995,891,903,1026,1312,1193,1303,1424,1517,1488.8,1192.4,1005.7,1066.8,1526.3,1637.4,1860.6999999999998,556.6,394.50000000000006,536.2,
44,0,44-0,BAHAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.19,44-1.19,,,Total,,,Thousands,,VF,3239,3416,3446,3348,3648,4203,4183,4406,4594,5004,4779.4,4731,4601,4394,4645,5255,5588,5940,6151,6320,6112,6265,6135.799999999999,6622,7249.5,1794.5,2100.6,7000.7,
44,1.20,44-1.20,,,,Air,,Thousands,,,1317,1368,1368,1305,1439,1481,1428,1403,1429,1450,1514.5,1492,1487,1393,1252,1295,1268,1357,1281,1343,1391,1392,1335.6,1558.1,1662.4,418.3,886.6,1470.2,
44,1.21,44-1.21,,,,Water,,Thousands,,,1922,2048,2078,2043,2209,2722,2755,3003,3165,3554,3264.9,3239,3114,3001,3393,3960,4320,4583,4870,4977,4721,4873,4800.2,5063.9,5587.1,1376.2,1214,5530.5,
44,1.22,44-1.22,,,,Land,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
48,0,48-0,BAHRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ From 2015, break in the series. Source: Inbound tourism survey. Excluding nationals residing abroad.
2/ Arrivals at Bahrain International Airport.
3/ Arrivals at Mina Salman Port
4/ Arrivals through King Fahad Causeway."
48,1.19,48-1.19,,,Total,,,Thousands,1/,VF,..,1988,2600,2897,3280,3869,4388,4830,4844,5667,6313,7289,7834,8631,8860,11951,6732,8064,9162.5,10448.8,9670,10158,11374,12044.7,11061.199999999999,1909,3612.1,9948.699999999999,
48,1.20,48-1.20,,,,Air,,Thousands,2/,,..,505,552,606,656,720,791,920,974,1176,1301,1544,1642,1855,1941,2280,1521,1628,1615,1705.5,1048,1069,1196.6,1150.5,1220.6,299,393.3,978.7,
48,1.21,48-1.21,,,,Water,,Thousands,3/,,..,2,4,5,5,6,9,13,8,7,5,12,53,80,94,143,55,55,66,59,40,56,68.6,81.1,133.7,51.3,7.3,32.6,
48,1.22,48-1.22,,,,Land,,Thousands,4/,,..,1481,2044,2286,2619,3143,3588,3897,3862,4484,5007,5733,6139,6696,6825,9528,5156,6381,7481.5,8684.3,8582,9033,10108.8,10813.1,9706.9,1558.7,3211.5,8937.4,
50,0,50-0,BANGLADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals by mode of transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.19,50-1.19,,,Total,,,Thousands,,TF,156,166,182,172,173,199,207,207,245,271,208,200,289,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
50,1.20,50-1.20,,,,Air,,Thousands,,,131,136,148,139,134,151,158,151,187,218,140,151,227,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
50,1.21,50-1.21,,,,Water,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
