INDEX,Unnamed: 1,Unnamed: 2,1. INBOUND TOURISM: Tourism expenditure in the country,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,S.,C. & S.,Basic data and indicators,,,,,Units,Notes,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
44,1.35,44-1.35,,,Passenger transport,,,US$ Millions,,IMF,10,11,11,11,15,15,17,13,13,13,10,10,11,11,11,12,15,22,20,20,17,17,21,28,25,5,12,9,
48,0,48-0,BAHRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.33,48-1.33,,Tourism expenditure in the country,,,,US$ Millions,1/,IMF,593,589,578,625,785,854,886,985,1206,1504,1603,1786,1854,1927,1873,2163,1766,1752,1875,1913,2827,4021,4380,3834,3860,724,1886,3886,"1/ From 2015 the expenditure figures used were the ones provided by the country to UNWTO, as this data series is more complete than that provided by the International Monetary Fund (IMF)."
48,1.34,48-1.34,,,Travel,,,US$ Millions,1/,IMF,247,263,311,366,518,573,630,740,720,864,920,1048,1105,1166,1118,1362,1035,1059,1175,1208,2705,3846,4245,3689,3681,673,1813,3802,
48,1.35,48-1.35,,,Passenger transport,,,US$ Millions,1/,IMF,346,326,267,259,267,281,256,245,486,640,683,738,749,761,755,801,731,693,700,705,122,175,135,145,179,51,73,84,
50,0,50-0,BANGLADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.33,50-1.33,,Tourism expenditure in the country,,,,US$ Millions,,IMF,..,..,..,..,..,..,..,59,59,76,82,..,..,..,77,103,97,105,131,154,150.3,214.3,348,357,391,217.9,273,420.2,
50,1.34,50-1.34,,,Travel,,,US$ Millions,,IMF,25,33,62,52,50,50,48,57,57,67,75,79,76,75,70,81,87,103,129,153,150,214,341,353,388,217,272,419.3,
50,1.35,50-1.35,,,Passenger transport,,,US$ Millions,,IMF,..,..,..,..,..,..,..,2,2,9,7,..,..,..,7,22,10,2,2,1,0.3,0.3,7,4,3,0.9,1,0.9,
52,0,52-0,BARBADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
